epoch,accuracy,loss,val_accuracy,val_loss
0,0.6870324015617371,1.053934097290039,0.8746882677078247,0.41937896609306335
1,0.8556733131408691,0.4794031083583832,0.9301745891571045,0.23424087464809418
2,0.8887156844139099,0.37787869572639465,0.9223815202713013,0.2705543339252472
3,0.9046134948730469,0.30924591422080994,0.951059877872467,0.1927231252193451
4,0.9142767786979675,0.272502064704895,0.9504364132881165,0.17158468067646027
5,0.9226932525634766,0.24816426634788513,0.9258104562759399,0.2928294539451599
6,0.9254987239837646,0.22366029024124146,0.9504364132881165,0.16374048590660095
7,0.9382793307304382,0.1841907650232315,0.9504364132881165,0.2039964199066162
8,0.9354737997055054,0.19652137160301208,0.9442020058631897,0.20991645753383636
9,0.9438902735710144,0.17899101972579956,0.9541770815849304,0.1597398817539215
